x,y
-2.62E+01,-1.04E-01
-2.53E+01,-6.44E-01
-2.55E+01,-2.77E+00
-2.63E+01,-2.37E+00
-1.03E+01,1.11E+01
-9.16E+00,1.15E+01
-9.72E+00,1.12E+01
-1.08E+01,1.01E+01
-9.65E+00,-5.84E-01
-1.06E+01,5.56E+00
-1.07E+01,4.89E+00
-1.06E+01,-6.38E-02
-9.07E+00,9.05E+00
-4.46E+00,4.39E+00
-1.04E+01,6.65E+00
-8.01E+00,1.06E+01
-9.59E+00,9.64E+00
-9.80E+00,1.03E+01
-9.27E+00,1.08E+01
-9.49E+00,1.03E+01
-4.36E+00,4.74E+00
-8.11E+00,9.93E+00
-4.37E+00,4.78E+00
-9.00E+00,1.00E+01
-8.45E+00,9.39E+00
-7.12E+00,1.03E+01
-8.04E+00,1.05E+01
-3.62E+00,4.24E+00
-7.10E+00,1.03E+01
-3.68E+00,4.31E+00
-1.30E+01,1.71E+00
-1.27E+01,7.01E-01
-1.72E+01,-6.14E+00
-1.72E+01,-6.13E+00
-2.26E+01,-2.27E+00
-2.27E+01,-2.27E+00
-2.45E+01,-1.97E+00
-2.40E+01,-2.20E+00
-2.40E+01,-2.19E+00
-2.67E+01,2.49E-01
-2.59E+01,-1.23E+00
-2.36E+01,-3.38E+00
-2.24E+01,-3.17E+00
-5.51E+00,-1.15E+01
-1.83E+01,-6.76E+00
-1.05E+01,-8.09E+00
-1.71E+01,-7.06E+00
-1.45E+01,-1.94E+00
-1.50E+01,-1.00E+00
-1.67E+01,2.18E+00
-1.85E+01,6.61E+00
-1.67E+01,2.25E+00
-1.49E+01,-1.29E+00
-2.66E+01,-3.71E+00
-9.59E+00,-8.49E+00
-9.51E+00,-8.33E+00
-8.41E+00,-3.16E+00
-7.82E+00,-3.02E+00
-7.99E+00,-3.05E+00
-1.08E+01,-9.62E-01
-1.06E+01,-4.82E-01
-1.09E+01,-9.36E-01
-1.46E+00,-1.08E+01
8.46E-01,-9.43E+00
-1.38E+00,-1.08E+01
-9.14E-01,-1.09E+01
-1.49E+01,-1.83E+00
-1.69E+01,2.47E+00
-1.48E+01,-1.87E+00
-1.50E+01,-1.12E+00
-2.45E+01,-1.02E+00
-2.49E+01,-6.91E-01
-2.43E+01,-1.14E+00
-1.64E+01,6.00E+00
-1.53E+01,4.30E+00
-1.52E+01,4.65E+00
-1.56E+01,5.25E+00
-1.57E+01,-2.36E+00
-1.74E+01,3.40E+00
-1.34E+01,4.57E+00
-1.50E+01,5.04E+00
-1.61E+01,4.99E+00
-1.35E+01,8.77E-01
-1.52E+01,4.16E+00
8.10E-01,-1.01E+01
1.99E-01,-1.00E+01
4.92E+00,-3.97E+00
1.46E+00,-1.03E+01
1.85E+00,-1.05E+01
1.50E+00,-1.08E+01
1.25E+00,-1.00E+01
1.90E+00,-1.03E+01
1.59E+00,-1.03E+01
-8.07E-01,-1.01E+01
2.86E+00,-1.37E+01
3.36E+00,-1.32E+01
3.44E+00,-1.31E+01
2.99E+00,-1.35E+01
2.92E+00,-1.37E+01
-2.90E+01,-2.05E+00
-2.95E+01,-2.02E+00
-2.97E+01,-2.10E+00
-2.98E+01,-2.11E+00
-2.95E+01,-2.16E+00
4.04E+00,-1.32E+01
3.92E+00,-1.41E+01
3.77E+00,-1.38E+01
4.25E+00,-1.41E+01
3.78E+00,-1.41E+01
4.73E+00,-1.36E+01
4.81E+00,-5.83E+00
4.30E+00,-1.35E+01
4.80E+00,-1.31E+01
4.41E+00,-1.38E+01
3.99E+00,-1.33E+01
4.23E+00,-1.29E+01
4.40E+00,-1.26E+01
2.52E+00,-1.17E+01
2.53E+00,-1.16E+01
2.47E+00,-1.17E+01
4.84E+00,-4.56E+00
3.98E+00,-8.18E+00
4.34E+00,-7.94E+00
4.76E+00,-5.83E+00
4.55E+00,-7.22E+00
4.92E+00,-4.02E+00
4.18E+00,-8.52E+00
3.90E+00,-8.84E+00
4.48E+00,-7.91E+00
3.78E+00,-9.83E+00
3.64E+00,-1.01E+01
2.32E+00,-1.11E+01
4.77E+00,-5.51E+00
3.87E+00,-9.69E+00
4.69E+00,-6.55E+00
4.48E+00,-7.53E+00
4.70E+00,-6.42E+00
4.22E+00,-8.19E+00
-1.08E+01,9.32E+00
-1.11E+01,6.51E+00
-1.15E+01,8.13E-01
-1.18E+01,2.55E+00
-1.01E+01,7.07E+00
-2.81E+01,-2.98E+00
-2.90E+01,-3.10E+00
-2.82E+01,-2.95E+00
-2.93E+01,-3.10E+00
-2.93E+01,-2.81E+00
