x,y
-1.67E+02,9.57E+00
-1.68E+02,1.33E+01
-1.89E+02,1.72E+01
-1.87E+02,1.78E+01
-1.00E+02,-9.88E+00
-9.64E+01,1.47E-01
-9.87E+01,-5.56E+00
-1.01E+02,-9.86E+00
-1.03E+02,-3.79E+00
-1.06E+02,-8.81E+00
-1.06E+02,-7.58E+00
-1.06E+02,7.60E-01
-1.02E+02,1.02E+00
-7.81E+01,9.47E+01
-1.04E+02,-3.05E+00
-9.71E+01,1.09E+01
-1.03E+02,-4.53E+00
-1.03E+02,-8.65E+00
-1.02E+02,-6.36E+00
-1.03E+02,-6.20E+00
-7.78E+01,8.10E+01
-9.81E+01,1.05E+01
-7.84E+01,7.82E+01
-1.01E+02,-1.22E-01
-9.95E+01,7.24E+00
-9.28E+01,2.66E+01
-9.72E+01,1.07E+01
-5.80E+01,1.49E+02
-9.24E+01,2.79E+01
-6.13E+01,1.34E+02
-1.35E+02,-9.32E-01
-1.35E+02,2.36E+00
-1.66E+02,7.77E+00
-1.66E+02,7.72E+00
-1.79E+02,2.30E+01
-1.78E+02,2.49E+01
-1.77E+02,1.93E+01
-1.79E+02,1.21E+01
-1.79E+02,1.21E+01
-1.73E+02,1.23E+01
-1.77E+02,1.21E+01
-1.69E+02,1.06E+01
-1.72E+02,9.15E+00
4.35E+01,-5.45E+01
-1.91E+02,1.48E+01
-1.07E+02,-1.06E+01
-1.61E+02,9.27E+00
-1.30E+02,3.55E+00
-1.30E+02,-2.34E+00
-1.28E+02,-5.67E-01
-1.21E+02,1.58E+01
-1.29E+02,-2.36E+00
-1.31E+02,-1.13E+00
-1.94E+02,2.03E+01
-8.53E+01,-1.74E+01
-8.39E+01,-1.73E+01
-7.40E+01,-1.89E+01
-7.27E+01,-1.95E+01
-7.32E+01,-1.96E+01
-1.09E+02,4.26E+00
-1.06E+02,1.08E+01
-1.11E+02,-2.62E+00
-1.71E+01,-2.14E+01
-1.18E+01,-1.22E+01
-1.80E+01,-2.50E+01
-1.71E+01,-2.44E+01
-1.35E+02,-1.59E+00
-1.31E+02,-2.72E-01
-1.35E+02,-1.55E+00
-1.32E+02,4.50E+00
-1.65E+02,8.11E+00
-1.63E+02,1.25E+01
-1.65E+02,9.01E+00
-1.40E+02,1.66E+00
-1.42E+02,2.39E+00
-1.40E+02,6.19E+00
-1.40E+02,4.89E+00
-1.45E+02,2.03E+00
-1.41E+02,1.61E+00
-1.26E+02,3.72E+01
-1.34E+02,4.87E+00
-1.36E+02,-1.84E-01
-1.38E+02,2.95E+00
-1.36E+02,-1.41E-01
-3.10E+01,-2.85E+01
-3.19E+01,-2.93E+01
6.04E+01,2.82E+02
-2.93E+01,-2.64E+01
-2.90E+01,-2.77E+01
-2.98E+01,-2.92E+01
-2.82E+01,-2.16E+01
-2.94E+01,-2.89E+01
-2.87E+01,-2.50E+01
-3.25E+01,-2.73E+01
1.49E+01,-4.28E+01
1.63E+01,-4.21E+01
1.59E+01,-4.40E+01
1.71E+01,-3.62E+01
1.54E+01,-4.18E+01
-2.16E+02,3.21E+01
-2.12E+02,4.32E+01
-2.11E+02,4.28E+01
-2.11E+02,4.16E+01
-2.14E+02,3.61E+01
2.25E+01,-4.08E+01
2.13E+01,-4.55E+01
2.11E+01,-4.54E+01
2.17E+01,-4.37E+01
2.11E+01,-4.55E+01
2.41E+01,-3.48E+01
5.89E+01,8.33E+01
2.19E+01,-4.33E+01
2.61E+01,-2.76E+01
2.20E+01,-4.27E+01
2.13E+01,-4.54E+01
2.36E+01,-3.69E+01
2.20E+01,-4.53E+01
-1.06E+01,-3.57E+01
-1.06E+01,-3.57E+01
-1.07E+01,-3.57E+01
5.21E+01,1.79E+02
1.38E+00,7.46E+00
4.32E+00,1.72E+01
2.66E+01,9.36E+01
9.86E+00,3.70E+01
7.49E+01,2.60E+02
5.72E-01,5.31E+00
-2.29E+00,-4.67E+00
4.05E+00,1.96E+01
-6.77E+00,-1.47E+01
-1.04E+01,-2.92E+01
-1.14E+01,-3.42E+01
3.19E+01,1.14E+02
-4.82E+00,-9.71E+00
1.63E+01,5.98E+01
7.05E+00,2.82E+01
1.77E+01,6.45E+01
2.27E+00,1.09E+01
-1.15E+02,-5.63E+00
-1.15E+02,-2.16E+00
-1.18E+02,-1.20E-01
-1.17E+02,-2.19E+00
-1.15E+02,-3.59E-01
-2.16E+02,2.32E+01
-2.14E+02,2.45E+01
-2.16E+02,2.33E+01
-2.12E+02,2.59E+01
-2.11E+02,2.91E+01
-2.12E+02,3.27E+01
-2.30E+01,-3.17E+01
-2.09E+01,-2.11E+01
-2.41E+01,-3.46E+01
-2.03E+01,-1.62E+01
-1.48E+02,2.23E+01
-1.62E+02,8.12E+00
-7.97E+01,2.58E+01
-9.03E+01,-1.06E+01
-2.46E+01,-3.58E+01
-2.12E+01,-2.37E+01
-7.24E+01,-1.74E+01
-7.54E+01,-1.92E+01
-1.92E+02,1.83E+01
-1.91E+02,2.04E+01
-1.31E+02,1.46E+01
-1.31E+02,-2.02E-01
-1.32E+02,1.39E+00
-1.34E+02,5.38E+00
-1.34E+02,1.02E+01
-1.25E+02,4.57E+01
-1.35E+02,3.84E+00
-1.33E+02,3.82E+00
-1.33E+02,-2.11E-03
-1.03E+02,-3.84E+00
-1.03E+02,-7.11E+00
-1.03E+02,-2.60E+00
-1.05E+02,-8.88E+00
-1.02E+02,2.33E+00
-1.01E+02,5.22E+00
-9.81E+01,1.49E+01
-1.01E+02,8.97E+00
-9.96E+01,1.10E+01
-1.03E+02,1.52E+00
-9.58E+01,2.63E+01
-1.01E+02,1.05E+01
-1.04E+02,-2.37E+00
-1.12E+02,5.70E+00
-1.08E+02,1.63E+01
-1.13E+02,1.43E+01
-7.71E+01,8.18E+00
-8.58E+01,-8.92E+00
-7.81E+01,4.64E+00
-8.03E+01,5.93E+00
-8.84E+01,-1.24E+01
-8.94E+01,-1.48E+01
-8.45E+01,3.57E+00
-8.73E+01,-5.12E+00
-9.05E+01,-1.56E+01
-1.06E+02,-9.44E+00
-1.71E+02,1.88E+01
-1.45E+02,1.00E+01
-1.42E+02,1.63E+01
-1.44E+02,8.07E+00
-1.46E+02,7.20E+00
-1.44E+02,1.14E+01
-1.45E+02,6.66E+00
-1.44E+02,1.19E+01
-1.47E+02,7.66E+00
-1.45E+02,1.50E+01
-1.48E+02,9.43E+00
-1.86E+02,2.03E+01
-1.87E+02,2.28E+01
-1.87E+02,1.67E+01
-1.87E+02,2.06E+01
-1.62E+02,5.97E+00
-1.61E+02,5.98E+00
-1.58E+02,1.33E+01
-1.61E+02,6.02E+00
-1.97E+02,1.67E+01
-1.92E+02,2.58E+01
-1.90E+02,3.56E+01
-2.18E+02,2.30E+01
-1.35E+02,-6.40E-01
-1.18E+02,-4.75E+00
-1.25E+02,-4.94E+00
-1.18E+02,1.92E+01
-1.72E+02,8.53E+00
-1.72E+02,8.45E+00
-1.27E+02,-3.84E+00
-1.26E+02,-3.88E+00
-1.23E+02,4.71E-02
-5.66E+01,4.21E+00
-5.86E+01,9.41E-01
-6.07E+01,-1.75E+01
-1.90E+02,1.81E+01
-1.88E+02,1.51E+01
-1.88E+02,1.51E+01
-1.08E+02,-7.99E+00
-1.08E+02,-7.31E+00
-9.79E+01,3.66E+01
-1.10E+02,-8.01E+00
-1.06E+02,-7.33E+00
-1.06E+02,-4.59E+00
-1.07E+02,-6.80E+00
-1.08E+02,-7.43E+00
-1.08E+02,-7.90E+00
-1.08E+02,-6.35E+00
-1.09E+02,-7.30E+00
