x,y
2.37E+02,-1.92E+02
3.57E+02,-2.57E+02
6.08E+02,-4.13E+02
-2.09E+01,-1.14E+01
5.80E+02,-4.00E+02
4.50E+02,-3.07E+02
4.39E+02,-3.32E+02
2.32E+02,-1.91E+02
2.34E+02,-1.88E+02
6.28E+02,-4.36E+02
4.42E+02,-3.02E+02
4.73E+02,-3.28E+02
3.28E+02,-2.37E+02
6.50E+02,-4.69E+02
4.60E+02,-3.28E+02
4.27E+02,-3.23E+02
3.05E+02,-2.35E+02
7.98E+02,-4.86E+02
7.30E+01,-6.98E+01
1.06E+01,-4.47E+01
1.66E+01,-1.95E+01
2.22E+02,-1.87E+02
2.08E+02,-1.74E+02
7.17E+01,-7.08E+01
5.07E+01,-7.42E+01
3.69E+02,-2.57E+02
4.45E+02,-3.05E+02
1.30E+02,-1.10E+02
2.26E+02,-1.83E+02
4.41E+02,-3.11E+02
6.30E+02,-4.43E+02
1.89E+02,-1.56E+02
3.83E+02,-3.08E+02
2.80E+02,-2.10E+02
1.36E+02,-1.10E+02
1.06E+02,-8.39E+01
2.82E+02,-2.24E+02
2.13E+02,-1.75E+02
-7.05E+00,-3.49E+01
2.81E+01,-4.62E+01
2.23E+02,-1.86E+02
2.75E+02,-2.16E+02
-5.68E+01,3.26E+01
1.06E+02,-9.26E+01
2.67E+02,-2.03E+02
2.50E+02,-2.00E+02
1.84E+02,-1.55E+02
2.47E+02,-1.96E+02
4.17E+02,-3.03E+02
3.25E+02,-2.41E+02
4.28E+02,-2.95E+02
3.55E+02,-2.68E+02
5.07E+02,-3.74E+02
2.55E+02,-1.85E+02
2.96E+02,-2.31E+02
1.74E+02,-1.43E+02
4.29E+02,-3.02E+02
4.39E+02,-3.14E+02
-1.75E+02,1.42E+02
-5.54E+01,3.44E+01
-2.29E+02,1.85E+02
-9.14E+01,6.99E+01
-2.58E+02,1.98E+02
-3.16E+02,2.28E+02
-5.50E+01,3.83E+01
-2.02E+02,1.37E+02
-1.95E+02,1.33E+02
-4.74E+00,-1.47E+01
-5.41E+01,-2.79E+01
9.44E+01,-8.25E+01
-2.63E+02,2.08E+02
-2.18E+02,1.65E+02
2.05E+02,-1.27E+02
1.05E+02,-9.48E+01
-2.50E+02,1.95E+02
-2.77E+02,2.19E+02
-1.83E+02,1.63E+02
-1.97E+01,-3.51E+01
-2.18E+02,1.79E+02
-3.75E+02,2.78E+02
-1.90E+01,2.66E+01
-8.14E+01,8.35E+01
-1.87E+02,1.35E+02
-1.78E+02,1.38E+02
-2.29E+02,1.86E+02
-1.99E+02,1.51E+02
-1.48E+02,1.09E+02
-4.49E+01,4.88E+01
-8.07E+01,9.27E+01
-2.16E+02,1.55E+02
-2.37E+02,1.77E+02
-2.05E+02,1.44E+02
-3.65E+02,2.72E+02
-3.21E+02,2.39E+02
1.17E+02,-1.66E+02
-1.19E+02,4.13E+01
-2.50E+02,1.96E+02
-6.31E+01,5.77E+01
-2.69E+02,2.07E+02
-2.89E+01,1.99E+01
-1.49E+02,1.07E+02
-2.40E+02,1.92E+02
-2.62E+02,2.02E+02
-5.20E+01,5.26E+01
-3.40E+02,2.64E+02
-1.94E+02,1.34E+02
-2.08E+02,1.52E+02
-3.44E+02,2.63E+02
-5.08E+01,4.06E+01
-1.40E+02,1.18E+02
-3.31E+02,2.59E+02
-1.15E+02,7.68E+01
-2.48E+02,1.88E+02
-2.83E+02,2.23E+02
-2.67E+02,2.08E+02
-2.02E+02,1.49E+02
-3.27E+02,2.31E+02
-2.89E+02,2.37E+02
-1.48E+02,1.05E+02
-9.68E+01,7.11E+01
-2.37E+02,1.51E+02
-3.08E+02,2.23E+02
-2.88E+02,2.25E+02
-2.85E+02,2.29E+02
-2.88E+02,2.28E+02
-3.08E+02,2.44E+02
-2.20E+02,1.72E+02
-3.17E+02,2.49E+02
-1.23E+02,1.11E+02
-1.08E+02,4.77E+01
-1.66E+02,1.37E+02
-1.45E+02,1.14E+02
-1.22E+02,7.89E+01
-6.97E+01,6.56E+01
-3.92E+01,3.12E+01
-1.58E+01,2.08E+01
-1.81E+02,1.42E+02
-1.29E+02,1.03E+02
-1.27E+02,8.89E+01
-1.16E+02,8.65E+01
3.23E+01,-1.50E+01
-1.78E+02,1.38E+02
-1.55E+02,1.19E+02
7.94E+01,-7.76E+01
6.52E+01,-5.46E+01
-2.66E+02,1.96E+02
-9.05E+01,7.95E+01
-7.43E+01,5.95E+01
-1.65E+02,1.04E+02
-1.76E+02,1.72E+02
-1.98E+02,1.76E+02
-2.37E+02,2.15E+02
-5.78E+01,3.98E+01
-8.86E+01,5.69E+01
-1.42E+01,1.45E+01
-2.11E+02,1.61E+02
1.05E+02,-8.55E+01
-7.07E+01,4.77E+01
-9.60E+01,8.05E+01
-1.82E+02,1.33E+02
-5.92E+01,2.94E+01
-1.38E+02,1.06E+02
-6.26E+01,3.32E+01
-1.01E+02,8.24E+01
-1.82E+02,1.33E+02
-4.96E+01,1.71E+01
-4.32E+01,4.24E+01
-3.93E-01,-8.98E+00
-1.02E+02,5.56E+01
-1.85E+02,1.46E+02
-2.21E+02,1.64E+02
-6.57E+01,5.42E+01
-3.05E+00,4.37E+00
1.23E+00,-6.73E+00
5.80E+01,-7.28E+01
6.27E+01,-7.50E+01
-1.46E+02,1.13E+02
