x,y
1.17E+01,-8.57E-01
1.41E+01,-1.40E+00
1.68E+01,-1.86E+00
3.52E+00,-5.61E-01
1.67E+01,-1.83E+00
1.56E+01,-1.26E+00
1.56E+01,-1.24E+00
1.15E+01,-1.43E+00
1.16E+01,-8.38E-01
1.70E+01,-1.64E+00
1.53E+01,-1.88E+00
1.58E+01,-1.82E+00
1.35E+01,-1.35E+00
1.72E+01,-1.76E+00
1.58E+01,-1.41E+00
1.54E+01,-1.16E+00
1.31E+01,-1.28E+00
1.74E+01,-1.74E+00
6.83E+00,-7.61E-01
4.98E+00,-6.07E-01
4.63E+00,-3.42E-01
1.13E+01,-1.34E+00
1.09E+01,-1.14E+00
6.89E+00,-3.92E-01
6.37E+00,-6.51E-01
1.43E+01,-1.47E+00
1.54E+01,-1.89E+00
8.40E+00,-7.82E-01
1.13E+01,-8.30E-01
1.54E+01,-1.87E+00
1.70E+01,-1.69E+00
1.05E+01,-1.02E+00
1.48E+01,-1.32E+00
1.25E+01,-1.39E+00
8.51E+00,-7.92E-01
7.60E+00,-8.08E-01
1.27E+01,-1.40E+00
1.10E+01,-8.87E-01
4.37E+00,-6.68E-01
5.47E+00,-5.43E-01
1.13E+01,-1.39E+00
1.25E+01,-1.05E+00
1.10E+00,-4.32E-01
7.73E+00,-7.54E-01
1.23E+01,-9.77E-01
1.19E+01,-1.43E+00
1.04E+01,-1.00E+00
1.19E+01,-1.43E+00
1.50E+01,-1.73E+00
1.35E+01,-1.35E+00
1.51E+01,-1.34E+00
1.42E+01,-1.41E+00
1.63E+01,-1.58E+00
1.19E+01,-8.49E-01
1.30E+01,-1.18E+00
9.94E+00,-9.49E-01
1.52E+01,-1.23E+00
1.54E+01,-1.84E+00
-7.82E+00,5.44E-01
1.09E+00,-3.63E-01
-1.18E+01,1.98E-01
-1.50E+00,-4.05E-02
-1.32E+01,3.86E-01
-1.53E+01,5.52E-02
9.27E-01,-8.28E-02
-8.85E+00,7.09E-01
-8.48E+00,6.86E-01
4.00E+00,-3.97E-01
3.23E+00,-1.11E+00
7.39E+00,-5.92E-01
-1.36E+01,1.73E-01
-1.05E+01,4.25E-01
1.02E+01,-9.51E-01
7.76E+00,-7.12E-01
-1.28E+01,2.12E-01
-1.42E+01,4.91E-01
-8.99E+00,-3.93E-01
4.07E+00,-8.29E-01
-1.11E+01,1.61E-01
-1.64E+01,4.93E-01
2.48E+00,-6.40E-02
-1.51E+00,-4.45E-01
-8.21E+00,4.31E-01
-7.82E+00,6.10E-02
-1.18E+01,2.20E-01
-9.23E+00,2.17E-01
-5.30E+00,3.04E-01
1.01E+00,2.85E-01
-1.80E+00,-6.11E-01
-1.00E+01,5.89E-01
-1.18E+01,4.64E-01
-9.22E+00,6.28E-01
-1.63E+01,4.47E-01
-1.55E+01,1.96E-01
9.11E+00,-8.62E-01
-1.88E+00,8.87E-01
-1.29E+01,5.16E-01
-8.18E-05,-1.62E-01
-1.38E+01,1.86E-01
2.35E+00,-2.55E-01
-5.30E+00,3.07E-01
-1.23E+01,2.31E-01
-1.34E+01,3.43E-01
5.48E-01,1.87E-01
-1.60E+01,5.27E-01
-8.48E+00,6.08E-01
-9.61E+00,4.71E-01
-1.61E+01,2.36E-01
1.05E+00,8.29E-02
-5.38E+00,-1.24E-01
-1.59E+01,6.51E-01
-2.76E+00,1.71E-01
-1.26E+01,4.26E-01
-1.44E+01,1.89E-01
-1.37E+01,4.98E-01
-9.22E+00,3.77E-01
-1.56E+01,2.31E-02
-1.48E+01,6.84E-01
-5.15E+00,2.80E-01
-1.85E+00,5.00E-02
-1.10E+01,-3.04E-01
-1.51E+01,3.79E-02
-1.46E+01,1.67E-01
-1.46E+01,6.24E-01
-1.47E+01,4.88E-01
-1.53E+01,6.51E-01
-1.09E+01,3.41E-01
-1.55E+01,6.52E-01
-4.39E+00,1.52E-01
-1.62E+00,6.77E-01
-7.15E+00,7.63E-02
-5.49E+00,7.25E-02
-3.16E+00,1.65E-01
-5.40E-01,-2.38E-01
1.75E+00,-1.04E-01
2.76E+00,-1.25E-01
-8.18E+00,-8.04E-02
-4.39E+00,1.23E-01
-3.78E+00,9.75E-02
-3.18E+00,3.83E-02
4.95E+00,-2.95E-01
-7.82E+00,-6.08E-02
-6.07E+00,2.30E-01
7.07E+00,-7.26E-01
6.42E+00,-4.73E-01
-1.35E+01,6.27E-01
-1.83E+00,-2.33E-01
-5.26E-01,-7.17E-02
-6.08E+00,-1.81E-02
-9.08E+00,-6.64E-01
-1.02E+01,-2.97E-01
-1.28E+01,-1.92E-01
6.98E-01,-2.74E-01
-1.03E+00,1.63E-01
2.99E+00,-1.66E-01
-1.01E+01,3.18E-01
7.62E+00,-5.98E-01
1.92E-02,1.85E-02
-2.14E+00,-1.36E-01
-7.83E+00,3.65E-01
1.12E+00,-5.28E-01
-4.88E+00,-2.63E-02
7.60E-01,-5.02E-01
-2.38E+00,-8.84E-02
-7.83E+00,3.47E-01
1.80E+00,-4.78E-01
1.34E+00,1.35E-01
3.97E+00,-2.67E-01
-1.58E+00,4.42E-01
-8.46E+00,-1.25E-02
-1.06E+01,4.72E-01
6.77E-03,-1.18E-01
3.54E+00,-1.39E-01
3.96E+00,-2.23E-01
6.53E+00,-6.34E-01
6.68E+00,-7.60E-01
-5.49E+00,1.04E-01
