x,y
3.05E+02,-5.14E+00
4.40E+02,-6.24E+00
7.35E+02,6.07E-01
-9.78E+00,1.86E+01
7.05E+02,6.59E-02
5.45E+02,-1.32E+01
5.50E+02,1.18E+01
3.00E+02,-7.95E+00
3.00E+02,-6.87E+00
7.65E+02,-7.91E+00
5.35E+02,-1.40E+01
5.75E+02,-2.07E+01
4.05E+02,-1.58E+01
8.02E+02,-1.17E+01
5.65E+02,2.56E+00
5.35E+02,1.11E+01
3.85E+02,8.75E+00
9.35E+02,-7.86E+00
1.00E+02,1.45E+01
3.54E+01,2.57E+01
2.49E+01,1.94E+00
2.90E+02,-3.73E+00
2.70E+02,-9.35E+00
9.98E+01,-5.34E+00
8.53E+01,2.31E+01
4.50E+02,-1.45E+01
5.40E+02,-1.51E+01
1.70E+02,4.44E+00
2.90E+02,-8.73E+00
5.40E+02,-7.87E+00
7.70E+02,-6.95E+00
2.45E+02,6.86E-02
4.90E+02,2.39E+01
3.50E+02,4.30E+00
1.75E+02,-2.60E+00
1.35E+02,7.94E+00
3.60E+02,-7.89E+00
2.75E+02,-6.50E+00
1.54E+01,2.80E+01
5.02E+01,1.65E+01
2.90E+02,-1.46E+01
3.50E+02,-4.79E+00
-6.50E+01,4.47E+00
1.40E+02,4.90E+00
3.35E+02,5.57E+00
3.20E+02,-3.25E+00
2.40E+02,-2.84E+00
3.15E+02,-2.06E+00
5.15E+02,-5.38E-01
4.05E+02,-1.48E+01
5.20E+02,-1.47E+01
4.45E+02,3.55E+00
6.30E+02,4.41E+00
3.15E+02,1.28E+01
3.75E+02,9.94E+00
2.25E+02,1.44E+01
5.25E+02,-6.77E+00
5.40E+02,-1.02E+00
-2.25E+02,-7.99E+00
-6.51E+01,2.41E+00
-2.95E+02,5.46E+00
-1.15E+02,-3.66E+00
-3.25E+02,-6.96E+00
-3.90E+02,1.11E+01
-6.71E+01,-4.68E-01
-2.43E+02,-1.75E+01
-2.35E+02,-1.75E+01
5.09E+00,1.02E+01
-2.62E+01,5.17E+01
1.25E+02,1.24E+00
-3.35E+02,-7.63E+00
-2.73E+02,-7.73E+00
2.41E+02,3.55E+01
1.41E+02,-1.03E+00
-3.17E+02,2.79E+00
-3.53E+02,-7.56E+00
-2.45E+02,1.66E+01
5.56E+00,3.61E+01
-2.82E+02,6.37E+00
-4.67E+02,-5.53E+00
-3.13E+01,-1.31E+01
-1.15E+02,-1.95E+01
-2.30E+02,-1.05E+01
-2.25E+02,-1.75E+00
-2.95E+02,4.45E+00
-2.50E+02,-5.19E+00
-1.83E+02,-8.26E+00
-6.54E+01,-1.44E+01
-1.21E+02,-2.74E+01
-2.65E+02,-1.40E+01
-2.95E+02,-8.41E+00
-2.50E+02,-1.52E+01
-4.55E+02,-3.77E+00
-4.00E+02,5.28E+00
1.93E+02,5.90E+01
-1.19E+02,3.65E+01
-3.17E+02,-9.21E+00
-8.53E+01,-1.01E+01
-3.39E+02,-5.77E+00
-3.51E+01,-2.07E+00
-1.83E+02,-8.48E+00
-3.07E+02,3.75E+00
-3.30E+02,-7.90E+00
-7.33E+01,-1.33E+01
-4.30E+02,-2.08E+00
-2.35E+02,-1.55E+01
-2.57E+02,-1.11E+01
-4.33E+02,-1.19E-01
-6.52E+01,-4.48E+00
-1.83E+02,1.06E+01
-4.20E+02,-4.29E+00
-1.38E+02,5.80E+00
-3.11E+02,-6.17E+00
-3.60E+02,-9.28E+00
-3.38E+02,-8.70E+00
-2.50E+02,-9.26E+00
-4.00E+02,1.54E+01
-3.73E+02,-1.32E+01
-1.81E+02,-9.51E+00
-1.20E+02,-1.52E+00
-2.80E+02,2.45E+01
-3.80E+02,9.17E+00
-3.65E+02,-7.21E+00
-3.65E+02,-1.12E+01
-3.67E+02,-8.20E+00
-3.93E+02,-6.72E+00
-2.79E+02,-2.51E+00
-4.03E+02,-4.49E+00
-1.65E+02,-1.67E+01
-1.15E+02,2.43E+01
-2.15E+02,8.17E+00
-1.85E+02,1.77E+00
-1.45E+02,8.99E+00
-9.53E+01,-1.30E+01
-5.02E+01,-4.71E+00
-2.53E+01,-1.01E+01
-2.30E+02,5.80E-01
-1.65E+02,-8.70E+00
-1.55E+02,4.24E+00
-1.45E+02,-1.03E+00
3.47E+01,-1.12E+01
-2.25E+02,1.43E+00
-1.95E+02,-4.18E+00
1.10E+02,1.05E+01
8.49E+01,9.71E-01
-3.30E+02,-1.38E+01
-1.20E+02,-1.14E+01
-9.52E+01,-5.81E+00
-1.95E+02,1.69E+01
-2.45E+02,2.78E+01
-2.65E+02,1.72E+01
-3.20E+02,2.22E+01
-7.01E+01,-3.02E-01
-1.05E+02,5.29E+00
-2.02E+01,-6.10E+00
-2.65E+02,-5.90E+00
1.35E+02,-4.67E+00
-8.51E+01,1.85E-01
-1.25E+02,-8.21E+00
-2.25E+02,-7.58E+00
-6.50E+01,8.57E+00
-1.75E+02,9.53E+00
-7.00E+01,7.61E+00
-1.30E+02,-7.17E+00
-2.25E+02,-7.55E+00
-4.99E+01,1.25E+01
-6.03E+01,-1.04E+01
4.98E+00,5.53E+00
-1.15E+02,1.46E+01
-2.35E+02,4.92E-01
-2.75E+02,-8.72E+00
-8.52E+01,-7.01E+00
-5.18E+00,-4.41E+00
4.93E+00,2.47E+00
9.02E+01,1.89E+01
9.52E+01,1.88E+01
-1.85E+02,-1.50E-01
